Date,Vendor,Category,Amount,Notes
2025-01-15,Fresh Mart,Groceries,46.06,Includes tax
2025-01-16,Java Junction Cafe,Dining/Coffee,11.25,Includes $2.00 tip
2025-01-17,Shell Station,Transport,43.24,12.5 gal @ $3.459/gal
2025-01-18,The Olive Garden,Dining/Coffee,62.44,Includes $10.00 tip
2025-01-19,Uber,Transport,18.75,8.3 miles
2025-01-20,Amazon,Shopping,78.99,Electronics/accessories
2025-01-15,City Power Electric,Utilities,119.77,FLAGGED: Over $100
2025-01-01,Flex Fitness Center,Subscriptions,54.99,Monthly membership + locker
2025-01-22,Wellness Pharmacy,Health,51.27,Vitamins and first aid
2025-01-25,Netflix,Subscriptions,15.49,Standard plan
2025-01-28,Fresh Mart,Groceries,46.94,Includes tax
2025-01-29,City Parking Garage,Transport,22.00,5.5 hours
2025-01-01,Speednet Internet,Utilities,79.99,Fiber 500 + router rental
2025-01-30,Java Junction Cafe,Dining/Coffee,10.00,Includes $1.50 tip
2025-01-31,Urban Style Outlet,Shopping,155.48,FLAGGED: Over $100
